n	commit	unix_time	subject
00	92e18e0	1789540470	baseline
01	226a1df	1789540520	time-of-day features
02	056938f	1789540537	depth4
03	a25b992	1789540594	cv model selection
04	b8ef92e	1789540637	oof target encoding
05	9109207	1789540662	more te keys
06	0b7a34c	1789540687	count features
07	11afa2f	1789540724	more te keys 2
08	d5fb1be	1789540764	top3 ensemble
09	55a314e	1789540800	wider candidate grid
10	023e497	1789540933	seed bagging top2
11	19459f3	1789541096	ablate weak te keys
12	3d816d9	1789541395	drop month te
13	089a2c2	1789541879	drop native month
14	c07d3bc	1789542012	drop native dayofmonth
15	1a747ac	1789542203	top2 x 5 seeds
16	6d93144	1789542426	retune candidates
17	e1313f1	1789542591	arrival time feats
18	3c96a7d	1789542672	arr_hour te
