n	commit	unix_time	subject
00	83944e4	1789492002	baseline
01	a8d1654	1789492115	drop Month/DayofMonth (poor year transfer)
02	6ca19b8	1789492119	add DepHour/DepMinutes/LogDistance to no-seasonal
03	8a1dd72	1789492131	add frequency encodings for Origin/Dest/Carrier/Route
04	8d21aa9	1789492135	capacity: 300 trees lr0.1
05	d7aa2c0	1789492140	capacity: 800 trees lr0.05
06	a0882cf	1789492149	capacity: 2000 trees lr0.03
07	13fa4de	1789492164	capacity: 4000 trees lr0.015
08	1e30bea	1789492197	depth 8, 2000 trees lr0.03
09	411b156	1789492221	depth 10, 2000 trees lr0.02
10	9c39cf9	1789492259	depth 12, 2000 trees lr0.02
11	121e2cb	1789492375	depth 14, 1500 trees lr0.025
12	68fe471	1789492533	ensemble depth12+depth14
13	cbc8b2e	1789492968	ensemble depth14+depth16
14	0a57797	1789493064	add origin-hour and carrier-hour frequency features
15	3cf217b	1789493467	max_bin 512
16	069f826	1789493725	max_cat_to_onehot 32
17	1fcdccc	1789493804	max_cat_threshold 128
18	ae48a4a	1789493887	max_cat_threshold 256
19	2de8802	1789494095	one-hot all categoricals (incl Origin/Dest)
20	9a2600d	1789494171	4-member seed/depth ensemble one-hot
