ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789640086	38	3.338	uncounted	exit	2.9	0	-c
1789640099	62	24.059	counted	exit	8.5	1	train.py
1789640140	108	85.311	counted	exit	29.1	1	train.py
1789640185	149	91.173	counted	exit	31.1	1	train.py
1789640207	175	1.476	uncounted	exit	1.0	0	-
1789640280	184	207.113	uncounted	exit	69.5	5	-
1789640310	200	34.819	uncounted	exit	9.9	7	-
1789640325	227	12.593	counted	exit	3.9	1	train.py
1789640376	252	156.039	uncounted	exit	41.2	12	-
1789640431	264	156.341	uncounted	exit	41.3	10	-
1789640499	276	225.170	uncounted	exit	59.9	9	-
1789640571	288	243.778	uncounted	exit	65.4	9	-
1789640652	300	248.365	uncounted	exit	67.3	8	-
1789640657	327	1.695	counted	exit	1.0	0	train.py
1789640673	365	45.843	counted	exit	12.7	1	train.py
1789640794	390	392.911	uncounted	exit	107.2	7	-
1789640994	402	715.841	uncounted	exit	193.6	9	-
1789641435	414	1669.277	uncounted	exit	432.9	11	-
1789641905	426	1779.539	uncounted	exit	464.1	11	-
1789642345	440	1652.912	uncounted	exit	433.1	8	-
1789642395	467	153.792	counted	exit	41.4	1	train.py
1789642450	492	175.656	uncounted	exit	46.4	1	-
1789642459	504	1.811	uncounted	exit	1.1	0	-
1789642713	513	952.130	uncounted	exit	249.6	5	-
1789643058	525	1296.033	uncounted	exit	339.6	5	-
1789643125	552	236.326	counted	exit	61.8	1	train.py
1789643473	577	1266.962	uncounted	exit	332.5	5	-
1789643702	589	770.745	uncounted	exit	213.8	4	-
1789643768	616	235.287	counted	exit	61.4	1	train.py
1789644038	641	1004.825	uncounted	exit	260.8	4	-
1789644112	668	257.996	counted	exit	67.9	1	train.py
1789644328	693	814.463	uncounted	exit	210.4	3	-
1789644466	705	511.031	uncounted	exit	133.6	2	-
1789644685	717	826.038	uncounted	exit	215.5	3	-
1789644844	729	587.842	uncounted	exit	152.3	2	-
1789644934	756	309.007	counted	exit	80.7	1	train.py
1789645022	796	263.490	counted	exit	69.3	1	train.py
1789645119	827	345.586	exempt	exit	91.3	1	validate.py
