box,harness,model,seed,counted,source,status,holdout_auc,holdout_ap,baseline_auc,best_eval_auc,eval_minus_holdout,refit_suspect,violations,violations_hard,violations_review,frame_stats,frame_stats_kinds,frame_stats_lines,best_commit_holdout_auc,delivered_minus_best_commit,n_experiments,n_ok,n_timeout,n_crash,timed_out,stalled,disk_blowup,cpu_killed,cpu_refusals,cpu_over_budget,fits_total,fits_uncounted,cpu_seconds_counted,cpu_seconds_uncounted,cpu_seconds_container,exit_code,endpoint_at_end,final_md_written,provider_error,provider_error_recorded,holdout_error,wall_minutes,tokens_in,tokens_out,started,ended,cpuset,scored_on
var1,hermes,deepseek-4.1-flash,1,True,runs,scored,0.720347907696,0.7047267637494019,0.714770751736,0.7182,-0.0021,False,,,,False,,,0.720347907696,0.0,8,8,0,0,False,True,False,False,0,False,312,300,125.1,5395.5,6317.3,137,ok,False,,,,33.0,1892263,31031,2026-09-15T16:31:27+00:00,2026-09-15T17:04:30+00:00,12-15,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,2,True,runs,scored,0.74359724266,0.73643777920988,0.714770751736,0.7432,-0.0004,False,suspicious-train-py:holdout,,suspicious-train-py:holdout,False,,,0.74359724266,0.0,40,37,1,2,False,False,False,False,0,False,200,0,8654.1,2.6,9129.6,0,ok,True,,,,51.9,9219569,99105,2026-09-15T17:48:23+00:00,2026-09-15T18:40:15+00:00,8-11,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,3,True,runs,scored,0.739529933516,0.7318466506964296,0.714770751736,0.7393,-0.0002,False,suspicious-train-py:holdout,,suspicious-train-py:holdout,False,,,0.739529933516,0.0,40,40,0,0,False,False,False,False,0,False,1424,360,10643.3,3806.1,15158.1,0,ok,True,,,,79.0,9918159,71723,2026-09-15T19:23:18+00:00,2026-09-15T20:42:17+00:00,4-7,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,4,True,runs,scored,0.7607430038379999,0.7458807112764276,0.714770751736,0.7608,0.0001,False,,,,False,,,0.7607430038379999,0.0,40,40,0,0,False,False,False,False,0,False,105,0,3315.0,3.1,3706.9,0,ok,True,,,,26.9,3477068,53792,2026-09-15T21:03:14+00:00,2026-09-15T21:30:05+00:00,8-11,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,5,True,runs,scored,0.744190962034,0.7431478355948552,0.714770751736,0.7613,0.0171,False,,,,True,groupby;nunique;rank;value_counts,"111: _days = max(day_key.nunique(), 1) | 114: n_day_hour = day_hour.map(day_hour.value_counts()) | 132: n_car_hour = car_hour.map(car_hour.value_counts())",0.744190962034,0.0,40,39,0,1,False,False,False,False,0,False,148,48,2495.4,588.6,3432.0,0,ok,True,,,,27.9,10770874,74800,2026-09-15T22:46:33+00:00,2026-09-15T23:14:27+00:00,8-11,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,6,True,runs,scored,0.756399440374,0.7466944304065345,0.714770751736,0.7573,0.0009,False,,,,False,,,0.756399440374,0.0,35,35,0,0,False,False,False,False,0,False,1058,801,6230.0,10960.7,17732.4,0,ok,True,,,,91.0,10708689,105801,2026-09-15T23:51:13+00:00,2026-09-16T01:22:15+00:00,8-11,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,7,True,runs,scored,0.76405085253,0.752682984997779,0.714770751736,0.7644,0.0003,False,,,,False,,,0.76405085253,0.0,23,23,0,0,False,False,False,False,0,False,562,303,5614.5,11705.9,17965.9,0,ok,True,,,,89.5,7731118,84163,2026-09-16T00:54:29+00:00,2026-09-16T02:23:58+00:00,0-3,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,8,True,runs,scored,0.7502626601619999,0.7366820491499569,0.714770751736,0.7487,-0.0016,False,suspicious-train-py:holdout,,suspicious-train-py:holdout,False,,,0.7502626601619999,0.0,40,31,5,4,False,False,False,False,0,False,968,0,8908.2,2.8,9302.4,0,ok,True,,,,51.0,6905117,85843,2026-09-16T02:16:20+00:00,2026-09-16T03:07:19+00:00,4-7,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,9,True,runs,scored,0.7428568093560001,0.7330723630909785,0.714770751736,0.7427,-0.0002,False,,,,False,,,0.7428568093560001,0.0,22,22,0,0,False,False,False,False,0,False,285,183,3961.8,13578.1,18313.3,0,ok,True,,,,95.0,10274515,114315,2026-09-16T03:11:05+00:00,2026-09-16T04:46:04+00:00,4-7,Linux-x86_64-docker
var1,hermes,deepseek-4.1-flash,10,True,runs,scored,0.73456518634,0.7244816117846054,0.714770751736,0.7336,-0.001,False,,,,False,,,0.73456518634,0.0,40,37,0,3,False,False,False,False,0,False,75,1,1813.1,8.5,2144.3,0,ok,True,,,,16.5,3604059,51945,2026-09-16T04:41:38+00:00,2026-09-16T04:58:06+00:00,8-11,Linux-x86_64-docker
