n	commit	eval_auc	status	seconds	description
1	4cf8fa4	0.7141	ok	4	baseline
2	58ce4f4	0.7146	ok	19	FE v1: numeric c-cols, deptime cyclic, ES+refit lr0.05
3	1e4c49e	0.0000	crash	5	ES on eval.csv, refit full train
4	ef0ac7d	0.7206	ok	6	ES on eval.csv, refit full train
5	5be88c9	0.0000	crash	2	TE+freq encodings (smooth=50), ES on eval
6	d0d000e	0.7110	ok	8	TE+freq encodings (smooth=50), ES on eval
7	770524c	0.7244	ok	8	subsample 0.8 colsample 0.8
8	538f94f	0.7243	ok	11	subsample 0.7 colsample 0.7
9	1946d2f	0.7245	ok	15	lr 0.03, subsample 0.8
10	c90997c	0.7278	ok	23	depth 8, subsample 0.8, lr 0.03
11	c62d9b5	0.7320	ok	33	depth 10, subsample 0.8, lr 0.03
12	58b71ef	0.7352	ok	13	depth 12, subsample 0.8, lr 0.03
13	add24de	0.7388	ok	20	depth 14, subsample 0.8, lr 0.03
14	fd7aa62	0.7415	ok	26	depth 16, subsample 0.8, lr 0.03
15	2b77987	0.7431	ok	33	depth 18, subsample 0.8, lr 0.03
16	e40df92	0.7436	ok	37	depth 20, subsample 0.8, lr 0.03
17	7a7e80f	0.7436	ok	28	ablation: no refit, expect same AUC
18	027a861	0.0000	crash	86	3-seed ensemble
19	b538266	0.7461	ok	80	3-seed ensemble
20	16aadda	0.7464	ok	110	4-seed ensemble
21	a9844ec	0.7417	ok	85	cyclic month/dom/dow, 3-seed
22	b50aa58	0.7467	ok	92	recency weights 1->2 by month
23	50b2297	0.7464	ok	98	recency weights 1->3
24	c11d8fc	0.7355	ok	50	min_child_weight 20
25	e20fe00	0.0000	crash	2	route categorical
26	f10a8c5	0.0000	crash	1	route categorical
27	e087b43	0.0000	oom	106	route categorical
28	8accae7	0.0000	crash	2	jittered members depth/ss
29	d297004	0.7457	ok	82	jittered members depth/ss
30	56c0161	0.7353	ok	84	lossguide max_leaves=128
31	512d5bb	0.0000	timeout	121	lr 0.02
32	829e99c	0.7471	ok	103	subsample 0.9
33	ae455ec	0.7470	ok	104	member0 unweighted blend
34	7b67088	0.7460	ok	92	max_bin 128
35	1c9135d	0.0000	timeout	123	colsample_bynode 0.8
36	60a7d90	0.7471	ok	107	3-seed depth 22
37	139ca5c	0.0000	timeout	121	month+dow native cats
38	60c94f2	0.7433	ok	106	colsample 0.9
39	a677f99	0.7462	ok	64	gamma 1.0
40	6b896ea	0.0000	timeout	121	ES rounds 200
