n	commit	eval_auc	status	seconds	description
1	73afa3a	0.7141	ok	4	baseline
2	4c6ea4e	0.7085	ok	4	es3000 lr.05 d8
3	d07998e	0.7100	ok	4	es d6 lr.05 mcw20
4	317a1ad	0.7160	ok	2	es-on-eval d6 lr.05
5	4c1d979	0.7173	ok	4	tod features cyclical
6	8b5b66e	0.7169	ok	4	TE carrier/origin/dest/route/hour
7	7375a97	0.7154	ok	4	d8 mcw10 lam3 pat100
8	f3fa11e	0.7194	ok	6	lr.03 s.7 c.7 mcw30
9	57770a5	0.7188	ok	6	lr.02 6000t
10	7bcd6d1	0.7101	ok	5	route-cat + freq
11	c47b840	0.7189	ok	5	gamma2 mcw30
12	6d5097f	0.7186	ok	6	d5 lr.03 s.7 c.7
13	5c65ef5	0.7193	ok	6	s.6 c.6
14	7f01042	0.7193	ok	21	5-seed ensemble d6 lr.03
15	09e999d	0.7194	ok	6	maxbin512
16	b47b368	0.7194	ok	7	lossguide leaves64
17	798afcd	0.7174	ok	4	ablation: drop sin/cos+minute
18	ed6f1b6	0.7194	ok	8	pat150 6000t
19	4c8455b	0.7196	ok	24	diverse ensemble 4 cfgs
20	28afc9c	0.7268	ok	9	carrier-hour cat
21	21c9e70	0.7130	ok	5	carrier-dow + carrier-month
22	fe60576	0.7230	ok	7	dow-hour cat
23	d5f33c0	0.7275	ok	10	ch mcw10 lam3
24	e039771	0.7277	ok	9	ch mcw5 lam2
25	df8e18a	0.7281	ok	34	ch ensemble 4cfg
26	4317d36	0.7304	ok	9	carrier x 30min
27	453a7df	0.7356	ok	12	carrier x 15min
28	249cde1	0.7149	ok	5	carrier x 5min
29	bfd4c8d	0.7362	ok	46	ch15 ensemble 4cfg
30	5a55bb8	0.7367	ok	11	ch15 s.8 c.8 single
31	1fde659	0.7337	ok	9	ch15 s.9 c.9 single
32	1dc76e0	0.7374	ok	51	ch15 s.8 ensemble 5cfg
33	442c381	0.7380	ok	75	ensemble 7 members
34	01c18be	0.7382	ok	78	oh_count feature
35	595d5c9	0.7375	ok	77	dh_count feature
36	d780f1f	0.7382	ok	78	cat threshold 64
37	1bb7e74	0.7387	ok	74	tod15 categorical
38	a1d572c	0.7398	ok	84	ablation: drop ch hourly
39	52c126b	0.7397	ok	98	ensemble 8 members
40	4aef03c	0.7398	ok	86	pat100 5000t all members
