n	commit	eval_auc	status	seconds	description
1	4fcfa24	0.7141	ok	4	baseline: 30 trees, depth 6, lr 0.1, categorical native
2	539559c	0.7059	ok	16	feat eng v1 + big model with ES on internal split
3	81674c0	0.7107	ok	8	ES on eval.csv (2006) to adapt tree count to shift
4	45e50ff	0.7091	ok	5	depth6 lr0.1 + FE v1 + ES eval
5	dba0b34	0.7143	ok	3	baseline features + ES on eval
6	cecd8dc	0.7153	ok	5	+ time-of-day features from DepTime
7	aa4f168	0.7147	ok	3	+ route/origin/dest/carrier freq features
8	5986527	0.7139	ok	4	+ holiday window flags
9	20a55af	0.7126	ok	10	depth8 slim FE ES eval
10	e84cb5d	0.7154	ok	4	lr0.05 slim FE ES eval
11	7bb9c5f	0.7156	ok	12	+ dow x hour cross cat
12	86efc17	0.7078	ok	15	+ smoothed target encoding carrier/origin/dest/route/hour/dow
13	9fa34b1	0.7150	ok	5	subsample0.8 colsample0.8 mcw10 lambda2
14	9c9987f	0.7195	ok	26	5-model ensemble seed/sampling jitter
15	de6ae2f	0.7198	ok	54	10-model ensemble, depth jitter
16	bb6d0ad	0.7198	ok	59	hour categorical + weekend + log_dist
17	f75ba85	0.7207	ok	49	ensemble v2: more diverse members
18	bf19c74	0.7208	ok	52	logit averaging instead of prob averaging
19	45ad255	0.7205	ok	58	+ carrier-dist ratio + origin-hour congestion
20	e6afdc0	0.7176	ok	52	+ month x dow cross categorical
21	ea40bca	0.7198	ok	69	ensemble 14 with lossguide diversity
22	bf19c74	0.7208	ok	50	re-run best config for diagnostics
23	208f610	0.7179	ok	38	drop tod_sin/cos, hour4, late_code
24	e812fbc	0.7205	ok	63	+ hour categorical (24 levels)
25	0c3dbea	0.7209	ok	60	ensemble lr diversity 0.1/0.05/0.03
26	752a40e	0.7211	ok	85	ensemble 14 members
27	f19d7f8	0.7223	ok	100	max_bin=512 finer histograms
28	96562b3	0.7176	ok	73	+ month x hour cross categorical
29	1202512	0.7215	ok	86	row-bag 7 of 14 members
30	7470b0b	0.7214	ok	88	mcw diversity 1/5/10/20
31	f2bda56	0.7189	ok	73	gamma diversity 0/0.5/1/2
32	1b5c9b8	0.7230	ok	100	AUC-weighted blend, member AUC diagnostics
33	a318d92	0.0000	timeout	120	3 clones of best member config
34	f966a12	0.7241	ok	100	squared AUC weights
35	ee464e4	0.7246	ok	100	cubed AUC weights
36	fc41ba7	0.7248	ok	100	5th power weights
37	d223f22	0.0000	timeout	120	swap weakest member -> strong config clone
38	0f18919	0.7248	ok	100	4th power weights
39	09f7d95	0.7247	ok	99	baseline 0.710 5th-power weights
40	c505845	0.7245	ok	111	swap member14 to strong-ish config
