n	commit	eval_auc	status	seconds	description
1	8993a1d	0.7141	ok	3	baseline
2	4fbe383	0.7063	ok	2	fe: time features + route interaction
3	f931fec	0.6973	ok	4	fe + capacity: 300 trees depth 8
4	a1d3fac	0.7258	ok	19	hour_carr + 3-seed ens lr.02/900
5	d705337	0.7264	ok	34	diverse 9-member ensemble
6	04f5486	0.0000	crash	8	b15/b30 x carrier + 6-member ens
7	1d67ba3	0.7376	ok	33	b15/b30 x carrier + 6-member ens (fix)
8	1d5539d	0.7398	ok	31	sincos tod + colsample_bynode .5
9	a1453a4	0.7408	ok	33	reg: alpha .5 lambda 10
10	733f839	0.7457	ok	67	gran-diverse + jitter ens4
11	2445445	0.7463	ok	82	opday shift features
12	e2a1bac	0.7461	ok	77	ens4 800/6+200/10 + doy feats
13	30672ba	0.7473	ok	85	ens4 900/6+250/10 + doy feats
14	a133d35	0.7448	ok	69	ens6 half-jitter 3 seeds
15	120a68f	0.7485	ok	87	deep ens6 full jitter
16	1e46e0b	0.7485	ok	83	deep ens8 cached aug
17	3e34651	0.7484	ok	98	mixed ens4 a3 recipe
18	5d526ff	0.0000	timeout	120	deep pair mb512 ens4
