n	commit	unix_time	subject
00	ee4fa1a	1789513724	baseline
01	54293b4	1789513760	feat: calendar/time cyclical feats, route cat, tuned 500-tree depth-8 model
02	e5edf8a	1789513771	ablation: drop Route cat, depth 6, 400 trees
03	ac0e807	1789513817	d8 600t lr.05 mcw10 cs0.7 (no Route cat)
04	d4902d2	1789513828	d10 900t lr.035 mcw20 cs0.6
05	e702f54	1789513915	d10 1500t lr.02
06	2af6bcd	1789513960	bagging: 3x d10 lr.02 seeds averaged
07	2deb092	1789514015	bagged lossguide max_leaves=96
08	b1369fe	1789514072	bagged lossguide max_leaves=160
09	e073957	1789514251	bagged lossguide leaves160 cs0.5
10	3298234	1789514336	bagged lossguide leaves160 cs0.4
11	73fc119	1789514545	bagged lossguide leaves160 cs0.4 2000t lr.015
12	c63c1b9	1789514855	max_bin=512
13	34182e1	1789515526	reg_alpha=1
14	a5cdf83	1789515629	reg_alpha=2
15	878fd49	1789515733	reg_alpha=4
16	724e5fa	1789516045	gamma=1
17	01e15c5	1789516129	gamma=2
18	620d9df	1789516183	max_bin=1024
