n	commit	unix_time	subject
00	2f68a48	1789522650	baseline
01	03bf813	1789522750	feat eng v1 + regularized depth6 model
02	bf5682a	1789522839	5-fold bagged ensemble d6 mcw20 cs0.6 fixed400
03	aba1b90	1789522858	10-fold bag
04	b09c728	1789522880	bag lr0.05 800 trees
05	c974b01	1789523548	bag n_est=600
06	21b70d8	1789523577	bag n_est=500
07	f39c126	1789523601	bag n_est=450
08	0d1bb6d	1789523634	bag n_est=350
09	d0ce074	1789523652	bag n_est=250
10	556e700	1789523708	bag depth7 n250
11	5378869	1789523725	bag depth8 n250
12	4ec0287	1789523743	bag depth9 n250
13	695ff4e	1789523763	bag depth10 n250
14	7dec0a6	1789523788	bag depth12 n250
15	29a5367	1789523818	bag depth16 n250
16	b9c88ef	1789523863	bag depth24 n250
17	b394d1d	1789523970	bag depth24 n200
18	f60d3a7	1789524017	bag depth24 n150
19	a0cad07	1789524050	bag depth24 n100
