n	commit	eval_auc	status	seconds	description
1	c187fdb	0.7141	ok	5	baseline
2	cbfd6fa	0.7119	ok	4	500 trees lr0.05
3	622846f	0.0000	crash	1	early stopping internal val split
4	9a1efab	0.7133	ok	4	early stopping internal val split
5	b722a32	0.7177	ok	7	dep time-of-day decomposition
6	9bf26ee	0.7065	ok	4	add route categorical
7	2d68e40	0.7175	ok	7	frequency encodings
8	ffc0461	0.7156	ok	6	depth7 subsample colsample mcw8
9	54d7e66	0.7054	ok	6	target encoding origin/dest/carrier/route
10	1b66b5f	0.7195	ok	7	carrier/origin/dest x hour rate encodings
11	e5d7a92	0.7172	ok	5	ablation carrier-hour rate only
12	62e3806	0.7178	ok	6	ablation origin/dest-hour rate only
13	01725b5	0.7154	ok	15	3-seed bagged ensemble
14	2340fbc	0.7175	ok	6	depth 8
15	953e923	0.7199	ok	15	learning rate 0.02
16	93319d1	0.7198	ok	18	learning rate 0.01
17	6c91790	0.7199	ok	12	dow-hour + month-hour rates
18	f81bda8	0.7178	ok	11	one-hot small categoricals
19	603e16c	0.7177	ok	11	max_cat_threshold 128
20	603337a	0.7208	ok	34	depth-diverse ensemble
21	6f2c4fa	0.7212	ok	49	5-model depth ensemble
22	9f0f5bf	0.7212	ok	51	origin/dest/route rates added
23	314405c	0.7157	ok	51	origin/dest/route rate features added
24	cf0bb0b	0.7218	ok	63	6-model depth 3-8 ensemble
25	d4fcbce	0.7226	ok	80	8-model depth ensemble
26	a20432b	0.7219	ok	67	10-model depth ensemble lr0.04
27	1349bf4	0.7225	ok	94	9-model depth ensemble
28	d263f25	0.7259	ok	78	feature-view diverse ensemble
29	48a46a5	0.7265	ok	89	three-view ensemble
30	0e34ad5	0.7266	ok	101	per-member early-stop split
31	a0b5951	0.7276	ok	61	no-probe fixed 1200 rounds
32	1c372a8	0.7288	ok	100	14-member three-view ensemble
33	b93c724	0.7287	ok	103	onehot view member
34	370487e	0.7290	ok	77	lr0.03 900 rounds
35	978491c	0.7298	ok	104	18-member ensemble
36	ab6365a	0.7292	ok	93	22-member ensemble 700 rounds
37	2227875	0.7305	ok	88	16 members 1100 rounds
38	50c314e	0.7304	ok	96	19-member ensemble
39	ffb1322	0.7308	ok	99	16 members 1200 rounds
40	fa8b8bb	0.7309	ok	103	16 members 1300 rounds
