n	commit	eval_auc	status	seconds	description
1	d9e9128	0.7141	ok	4	baseline
2	6f831a7	0.7078	ok	4	n_estimators 400
3	c853fdb	0.7127	ok	1	DepHour+DepMin features
4	c5030db	0.0000	crash	2	Route categorical
5	99fc0b0	0.7056	ok	1	Route categorical fix
6	0204445	0.7163	ok	3	depth4 lr.05 subsample reg
7	38755af	0.7150	ok	4	lr.03 800 trees
8	8cd3ee1	0.7154	ok	2	depth5 300 lr.05
9	355ef6e	0.7151	ok	2	depth3 300 lr.05
10	66fd794	0.7164	ok	2	150 trees depth4 lr.05
11	a49df0a	0.7164	ok	2	mcw20 lambda2
12	b1d8203	0.7158	ok	2	frequency encodings
13	acdd8f5	0.7166	ok	4	5-seed bagging
14	6e53e6b	0.7163	ok	4	DepHour categorical bagged
15	6b83dc7	0.7224	ok	3	alpha10 depth5 500trees
16	7b8e79a	0.7336	ok	6	hourcat min hour-interactions
17	50bdec3	0.7390	ok	5	freq CarrierOrig alpha5
18	5f9b335	0.7408	ok	13	hp depth6 lr.03 1000t
19	6ed1e52	0.7439	ok	47	5-model ensemble
20	8b79a33	0.7456	ok	49	ensemble + DistBandHour
21	95f1054	0.0000	crash	26	7-model refined ensemble
22	d5de63f	0.7469	ok	76	7-model refined ensemble
23	64b90e9	0.7481	ok	85	ensemble + combo frequencies
24	db1c98a	0.7480	ok	112	ensemble + low-lr long-run member
25	ddcf463	0.7492	ok	84	ensemble + hour frequency shares
26	bae12d1	0.7491	ok	92	ensemble + route/carrier shares
27	7504203	0.7490	ok	91	ensemble + carrier hour share
28	c828e64	0.7495	ok	86	ensemble + route-hour share
