harness,model,box,n,mean,sd,pair_box_anova_F
hermes,glm-5.3,var5,13,0.75068,0.01551,0.026
hermes,glm-5.3,var6,13,0.74926,0.02958,0.026
hermes,glm-5.3,var7,13,0.74846,0.0183,0.026
hermes,glm-5.3,var8,13,0.7487,0.02222,0.026
opencode,glm-5.3,var5,13,0.74691,0.0109,0.301
opencode,glm-5.3,var6,13,0.74462,0.00902,0.301
opencode,glm-5.3,var7,13,0.74704,0.00961,0.301
opencode,glm-5.3,var8,12,0.75106,0.0306,0.301
pi,glm-5.3,var5,13,0.74575,0.01098,4.012
pi,glm-5.3,var6,13,0.75567,0.00805,4.012
pi,glm-5.3,var7,12,0.75998,0.01502,4.012
pi,glm-5.3,var8,11,0.74696,0.01322,4.012
