ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789513910	142	5.055	counted	exit	3.6	1	train.py
1789513913	184	0.806	uncounted	exit	0.4	0	-
1789513949	263	47.667	counted	exit	12.8	2	train.py
1789513961	412	1.629	counted	exit	1.0	0	train.py
1789513965	504	1.599	counted	exit	0.9	0	train.py
1789513987	610	61.625	counted	exit	16.6	2	train.py
1789514028	729	77.949	counted	exit	22.3	2	train.py
1789514053	835	70.878	counted	exit	19.1	2	train.py
1789514074	897	65.306	counted	exit	18.0	2	train.py
1789514096	962	72.790	counted	exit	20.5	2	train.py
1789514121	1026	83.914	counted	exit	23.0	2	train.py
1789514150	1090	93.417	counted	exit	26.0	2	train.py
1789514188	1154	134.865	counted	exit	35.9	2	train.py
1789514245	1218	206.901	counted	exit	54.5	2	train.py
1789514347	1342	339.337	counted	exit	88.6	6	train.py
1789514414	1427	232.954	counted	exit	60.1	2	train.py
1789514465	1490	180.668	counted	exit	47.5	2	train.py
1789514499	1554	117.252	counted	exit	31.8	2	train.py
1789514576	1660	257.033	counted	exit	68.1	4	train.py
1789514665	1756	284.380	counted	exit	76.3	4	train.py
1789514756	1820	309.204	counted	exit	82.3	4	train.py
1789514833	1931	259.439	counted	exit	69.3	4	train.py
1789514952	1994	418.320	counted	exit	111.6	6	train.py
1789515033	2183	254.397	counted	exit	67.5	4	train.py
1789515137	2243	372.079	counted	exit	99.6	6	train.py
1789515269	2352	464.771	counted	term	120.0	3	train.py
1789515353	2434	305.148	counted	exit	79.8	2	train.py
1789515360	2484	0.603	uncounted	exit	0.3	0	-
1789515431	2527	236.023	counted	exit	63.2	4	train.py
1789515492	2592	222.867	counted	exit	58.8	4	train.py
1789515576	2713	261.716	counted	exit	70.4	4	train.py
1789515660	2775	308.288	counted	exit	80.7	4	train.py
1789515754	2839	347.900	counted	exit	92.0	4	train.py
1789515857	2903	372.570	counted	exit	97.4	4	train.py
1789515960	3010	354.750	counted	exit	97.5	4	train.py
1789516065	3072	383.680	counted	exit	100.4	4	train.py
1789516154	3156	314.696	counted	exit	82.7	4	train.py
1789516279	3221	469.610	counted	term	122.0	4	train.py
1789516379	3308	360.055	counted	exit	94.7	4	train.py
1789516391	3419	0.037	uncounted	exit	0.0	0	-c
1789516474	3436	316.756	counted	exit	83.1	4	train.py
1789516592	3524	434.604	counted	exit	113.2	4	train.py
1789516683	3606	311.398	counted	exit	81.7	3	train.py
1789516809	3675	394.116	uncounted	exit	103.7	3	-
1789516906	3711	351.371	exempt	exit	91.8	3	validate.py
