ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789489577	99	0.035	uncounted	exit	0.0	0	-c
1789489577	101	0.037	uncounted	exit	0.0	0	-c
1789489577	103	0.037	uncounted	exit	0.0	0	-m --version
1789489577	105	0.040	uncounted	exit	0.0	0	-c
1789489587	230	4.683	counted	exit	3.4	1	train.py
1789489607	293	0.042	uncounted	exit	0.0	0	-c
1789489607	295	0.034	uncounted	exit	0.0	0	-c
1789489607	297	0.040	uncounted	exit	0.0	0	-c
1789489621	382	1.612	uncounted	exit	0.9	0	-c
1789489632	435	12.579	counted	exit	4.0	1	train.py
1789489650	538	10.309	counted	exit	3.3	1	train.py
1789489668	642	38.162	counted	exit	10.4	1	train.py
1789489709	744	2.392	counted	exit	1.6	0	train.py
1789489723	857	19.341	counted	exit	6.2	1	train.py
1789489732	906	0.801	uncounted	exit	0.4	0	-c
1789489742	990	16.729	counted	exit	5.1	1	train.py
1789489757	1137	9.113	counted	exit	3.0	1	train.py
1789489765	1241	6.794	counted	exit	2.4	1	train.py
1789489772	1345	5.832	counted	exit	2.2	1	train.py
1789489794	1465	36.552	counted	exit	9.9	4	train.py
1789489822	1676	39.270	counted	exit	10.8	4	train.py
1789489846	1833	44.882	counted	exit	12.3	4	train.py
1789489873	1990	53.728	counted	exit	14.8	4	train.py
1789489906	2095	89.982	counted	exit	23.9	4	train.py
1789489935	2267	56.924	counted	exit	15.8	4	train.py
1789489968	2427	47.303	counted	exit	13.6	4	train.py
1789490004	2584	67.059	counted	exit	19.0	4	train.py
1789490039	2793	60.435	counted	exit	17.6	4	train.py
1789490078	2898	108.587	counted	exit	29.7	8	train.py
1789490128	3056	138.716	counted	exit	37.5	8	train.py
1789490134	3093	0.704	uncounted	exit	0.3	0	-c
1789490204	3292	166.167	counted	exit	44.7	8	train.py
1789490262	3450	170.181	counted	exit	46.2	8	train.py
1789490327	3673	173.193	counted	exit	46.3	8	train.py
1789490406	3779	257.450	counted	exit	67.8	12	train.py
1789490499	3948	285.337	counted	exit	75.1	12	train.py
1789490603	4067	333.776	counted	exit	87.0	14	train.py
1789490737	4236	346.018	counted	exit	90.3	14	train.py
1789490851	4394	384.592	counted	exit	100.7	14	train.py
1789490963	4565	358.513	counted	exit	93.5	14	train.py
1789491077	4723	354.204	counted	exit	92.7	14	train.py
1789491185	4881	355.254	counted	exit	93.4	14	train.py
1789491295	5039	364.201	counted	exit	96.0	14	train.py
1789491403	5197	365.033	counted	exit	96.1	14	train.py
1789491408	5234	0.752	uncounted	exit	0.4	0	-c
1789491526	5370	389.853	counted	exit	102.5	14	train.py
1789491644	5593	365.243	counted	exit	96.1	14	train.py
1789491777	5764	409.093	counted	exit	107.1	14	train.py
1789491879	5936	298.206	counted	exit	79.3	13	train.py
1789492005	6094	314.849	counted	exit	83.7	13	train.py
1789492122	6200	389.205	counted	exit	102.6	16	train.py
1789492211	6241	319.284	exempt	exit	86.0	13	validate.py
